Game_Date,Release_Speed,Release_Point_X,Release_Point_Z,Horizontal_Movement,Vertical_Movement,Inning,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Perceived_Speed,Release_Spin_Rate,Release_Extension,Release_Point_Y,Plate_Appearance,Pitch_Per_PA,Pitch_Name,Pitch_Per_Game,Days_Between_Starts
2015-04-12,95.1,2.9904,4.8526,1.4968583333333332,1.156033333333333,6.0,-11.452,-137.922,-1.695,22.168000000000003,35.085,-19.445,94.277,2404.0,6.307,54.1916,47.0,2.0,Sinker,91.0,4.0
2015-04-12,97.2,2.737,4.9249,1.5233,1.2707,6.0,-14.34,-140.722,-2.998,23.708000000000002,33.389,-17.195,96.919,2380.0,6.496,54.001999999999995,47.0,3.0,Sinker,92.0,4.0
2015-04-12,95.2,2.7989,4.8565,1.61515,1.0657333333333332,6.0,-9.844,-138.278,-1.64,23.877,35.561,-20.6,94.427,2336.0,6.316,54.1828,47.0,4.0,Sinker,93.0,4.0
2015-04-12,96.3,2.8758,4.827,1.43145,0.7375,6.0,-5.646,-140.105,-3.5380000000000003,22.391,30.401,-24.623,96.243,2254.0,6.263,54.2351,48.0,1.0,Sinker,94.0,4.0
2015-04-12,97.0,2.9257,5.2246,1.445366666666667,1.5487666666666668,6.0,-9.165,-140.886,-3.302,22.447,35.965,-13.429,96.479,2412.0,6.352,54.1467,48.0,2.0,Sinker,95.0,4.0
2015-04-12,85.8,2.8777,4.9794,2.020125,1.0098333333333331,6.0,-11.872,-124.40700000000001,-3.07,24.325,23.951999999999998,-23.212,85.46600000000001,680.0,6.2139999999999995,54.2847,48.0,3.0,Changeup,96.0,4.0
2015-04-12,97.1,2.9918,4.7254,1.3660416666666668,1.237733333333333,6.0,-9.958,-141.034,-2.245,21.103,39.705,-17.887,95.904,2360.0,6.334,54.1641,48.0,4.0,Sinker,97.0,4.0
2015-04-12,98.7,2.69,5.086,1.4829416666666668,1.4928666666666668,6.0,-7.845,-143.424,-2.755,23.586,40.27,-13.743,97.921,2462.0,6.4510000000000005,54.0471,48.0,5.0,Sinker,98.0,4.0
2015-04-18,95.9,2.69,5.086,1.0445666666666669,0.5368333333333332,1.0,-9.221,-139.26,-3.722,16.851,26.535,-27.419,97.921,2462.0,6.4510000000000005,54.0471,6.0,1.0,Sinker,1.0,5.0
2015-04-18,89.2,2.8123,5.692,1.5928833333333332,0.63,1.0,-10.243,-129.418,-4.5489999999999995,20.985,27.173000000000002,-27.015,87.93299999999999,1956.0,5.88,54.6086,6.0,2.0,Changeup,2.0,5.0
