Game_Date,Release_Speed,Release_Point_X,Release_Point_Z,Horizontal_Movement,Vertical_Movement,Inning,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Perceived_Speed,Release_Spin_Rate,Release_Extension,Release_Point_Y,Plate_Appearance,Pitch_Per_PA,Pitch_Name,Pitch_Per_Game
2017-04-05,89.8,3.3487,5.308,1.9432,0.8382,6,-11.3309,-130.2005,-2.0674,24.3055,29.014,-22.561,88.895,2038.0,6.068,54.4316,37,1,Changeup,76
2017-04-05,83.1,3.2981,5.1528,1.6298,0.7301,6,-8.3929,-120.65299999999999,-1.2648,17.3794,25.0313,-25.1553,82.24,2047.0,5.987,54.5126,37,2,Changeup,77
2017-04-05,81.7,3.0782,5.3363,-1.0275,0.0343,6,-10.4987,-118.4005,-1.5063,-7.1352,25.2676,-31.8146,80.167,2542.0,5.731,54.7689,37,3,Slider,78
2017-04-05,96.4,3.3138,5.3905,1.51,1.1435,6,-12.6781,-139.6097,-1.3161,22.6634,35.6418,-17.3797,95.223,2367.0,6.178,54.3214,37,4,4-Seam Fastball,79
2017-04-05,77.7,3.488,5.0835,-1.311,-0.0631,6,-3.8155,-112.7941,0.35700000000000004,-9.877,23.8329,-33.0728,75.718,2287.0,5.349,55.1513,37,5,Slider,80
2017-04-05,87.4,3.3601,5.127999999999999,1.8525,0.57,6,-9.5171,-126.7032,-3.0356,21.7452,29.3502,-25.7199,86.213,2199.0,6.044,54.4556,38,1,Changeup,81
2017-04-05,84.2,3.3417,5.0975,1.8971,0.8098,6,-12.0493,-122.0469,-1.1297,21.5632,26.5522,-24.0674,83.925,1987.0,6.564,53.9356,38,2,Changeup,82
2017-04-05,75.7,3.4594,5.3028,-1.2751,-0.0539,6,-7.9485,-109.6091,1.8019,-8.1849,22.5397,-33.2672,73.61,2343.0,5.375,55.1246,39,1,Slider,83
2017-04-05,94.1,3.241,5.4016,1.5632,1.1672,6,-11.1838,-136.5136,-3.9083,21.94,31.8001,-17.0638,93.391,2163.0,6.172000000000001,54.3283,39,2,4-Seam Fastball,84
2017-04-05,95.4,3.1983,5.3012,1.4631,0.9371,6,-14.9577,-137.9103,-5.6928,22.1521,32.8445,-19.1393,94.669,2363.0,6.39,54.1104,39,3,4-Seam Fastball,85
2017-04-05,93.1,3.415,5.4063,1.5637,1.3730000000000002,6,-11.3,-134.8978,-3.7406,21.6979,33.7877,-14.9174,92.226,2223.0,6.35,54.1499,39,4,4-Seam Fastball,86
2017-04-05,85.8,3.4229,5.222,1.7162,0.9531,7,-10.8824,-124.2716,-3.2897,19.8957,26.9929,-21.9672,84.865,2127.0,6.131,54.3687,43,1,Changeup,87
2017-04-05,93.4,3.3662,5.3254,1.4491,1.0484,7,-14.3604,-135.0981,-5.9406,20.9348,31.3738,-18.2947,92.55,2260.0,6.266,54.2341,43,2,4-Seam Fastball,88
2017-04-05,78.8,3.3101,5.3341,-1.3285,0.0041,7,-1.5991,-114.5507,2.5419,-11.0769,23.1885,-32.9183,77.757,2308.0,5.8229999999999995,54.6773,43,3,Slider,89
2017-04-05,92.8,3.2323,5.3945,1.329,1.2591,7,-12.2293,-134.3926,-6.1805,18.878,32.3446,-15.8322,91.943,2309.0,6.292999999999999,54.2067,43,4,4-Seam Fastball,90
2017-04-05,94.6,3.236,5.3569,1.3299,1.2131,7,-15.0391,-136.6668,-7.2006,20.2048,33.7552,-15.5963,93.499,2327.0,6.317,54.1831,43,5,4-Seam Fastball,91
2017-04-05,93.8,3.2019,5.5123,1.2579,1.1327,7,-12.58,-135.9195,-5.2792,18.5017,32.7529,-17.2076,93.126,2257.0,6.35,54.1498,43,6,4-Seam Fastball,92
2017-04-05,93.1,3.4267,5.3275,1.5682,1.2868,7,-10.2623,-134.9814,-4.1534,21.3753,33.021,-15.93,92.081,2363.0,6.164,54.3356,43,7,4-Seam Fastball,93
2017-04-05,77.2,3.3478,5.2892,-1.0884,-0.2535,7,-2.5511,-111.936,2.2372,-8.107000000000001,25.5379,-35.0399,74.922,2397.0,5.422000000000001,55.0783,44,1,Slider,94
2017-04-05,83.4,3.3295,5.1194,1.8072,0.8115,7,-10.995,-120.8429,-1.3778,19.9288,26.2042,-24.2363,82.736,1965.0,6.34,54.1596,44,2,Changeup,95
2017-04-05,75.8,3.4081,5.3987,-0.9621,0.2248,7,-2.7649,-110.1658,1.5036,-7.0529,21.9285,-30.9719,74.607,2132.0,5.749,54.7506,44,3,Slider,96
2017-04-05,91.3,3.3966,5.3642,1.8233,0.7587,7,-11.9728,-132.2972,-2.7472,23.9004,30.6673,-22.9902,90.37899999999999,2037.0,6.1579999999999995,54.3421,44,4,Sinker,97
2017-04-05,78.7,3.2681,5.457999999999999,-1.4406,-0.087,7,-7.7620000000000005,-114.134,0.2726,-10.4517,24.5068,-33.2597,76.949,2409.0,5.604,54.8959,45,1,Slider,98
2017-04-05,93.9,3.4165,5.4353,1.4385,1.2635,7,-11.437000000000001,-136.1423,-4.4639,20.4218,32.6927,-15.8195,93.075,2275.0,6.216,54.2842,45,2,4-Seam Fastball,99
2017-04-05,94.1,3.2724,5.2698,1.3508,1.2322,7,-9.0462,-136.6546,-3.1325,18.9935,34.663000000000004,-16.396,93.348,2322.0,6.3020000000000005,54.1976,45,3,4-Seam Fastball,100
2017-04-05,78.9,3.1317,5.4379,-1.2837,-0.2324,7,-7.5519,-114.4159,-2.3913,-9.3029,24.4392,-33.9232,77.37899999999999,2238.0,5.7589999999999995,54.7413,45,4,Slider,101
2017-04-05,79.9,3.2739999999999996,5.3946,-1.5988,-0.502,7,-3.8804,-116.1198,-1.8942,-13.1006,24.8108,-36.4336,78.317,2345.0,5.566,54.9344,45,5,Slider,102
2017-04-05,76.5,3.3397,5.2618,-1.3467,-0.3763,7,-7.7468,-111.0218,0.5395,-9.4164,21.6047,-35.5846,75.61,2220.0,5.986000000000001,54.5135,45,6,Slider,103
2017-04-05,86.2,3.3273,5.2197,1.7252,0.6716,7,-9.6752,-125.2211,-0.9062,20.1828,26.3284,-25.1366,86.15299999999999,1924.0,6.447,54.0529,46,1,Changeup,104
2017-04-10,93.4,3.4343,5.5082,1.6411,0.8936,1,-13.9702,-134.8545,-8.6843,22.7116,28.436999999999998,-19.8106,92.167,2221.0,5.912000000000001,54.586999999999996,4,1,4-Seam Fastball,1
2017-04-10,96.6,3.5383,5.4954,1.4714,0.9474,1,-11.6869,-139.9824,-2.8451,21.5169,29.3409,-19.5277,95.60600000000001,2180.0,5.781000000000001,54.7174,4,2,4-Seam Fastball,2
2017-04-10,94.1,3.3388,5.4826,1.1687,1.2992,1,-10.9635,-136.3861,-1.9918,16.607,26.9301,-15.9407,93.38,2220.0,5.849,54.6499,4,3,4-Seam Fastball,3
2017-04-10,90.0,3.2033,5.3588,1.2503,0.5604,1,-8.4709,-130.3737,-3.2996,15.722000000000001,27.9083,-25.4877,88.546,1972.0,5.669,54.8299,4,4,Changeup,4
2017-04-10,91.0,3.4149,5.1844,1.4521,0.3117,1,-12.0058,-131.8586,-1.3026,18.9522,23.4347,-28.5347,90.421,2176.0,5.8020000000000005,54.696999999999996,5,1,Sinker,5
2017-04-10,85.8,3.2589,5.2528,1.4506,1.1172,1,-8.9576,-124.3168,-3.5377,16.4686,24.1883,-20.3859,84.602,2075.0,5.672999999999999,54.8254,5,2,Changeup,6
2017-04-10,79.4,3.4093,5.5007,-1.4388,0.0449,1,-5.6227,-115.15100000000001,-2.2979,-11.2121,22.1439,-31.6292,77.568,2300.0,5.247999999999999,55.2511,5,3,Slider,7
2017-04-10,86.1,3.2478,5.2227,1.5274,1.0392,1,-9.3286,-124.6645,-3.9925,17.5279,25.0828,-20.9626,85.0,2022.0,5.848,54.6508,5,4,Changeup,8
2017-04-10,93.3,3.3734,5.4645,1.01,1.3514,1,-11.7005,-135.0997,-4.0333,14.6611,27.1322,-15.1025,92.74799999999999,2277.0,6.05,54.4489,6,1,4-Seam Fastball,9
2017-04-10,90.7,3.4152,5.3034,1.0161,0.5442,1,-8.5352,-131.6229,-2.7492,13.1933,23.6017,-25.6452,90.00399999999999,1919.0,5.662999999999999,54.8353,6,2,Sinker,10
2017-04-10,91.1,3.325,5.3193,1.0424,0.9731,2,-9.3184,-132.0362,-3.6546,13.850999999999999,26.3334,-20.4807,90.079,2275.0,5.736000000000001,54.7627,12,1,4-Seam Fastball,11
2017-04-10,78.1,3.3972,5.2703,-1.4446,-0.069,2,-4.3447,-113.3912,-1.6016,-11.1799,21.2893,-32.7223,76.475,2315.0,5.297000000000001,55.202,12,2,Slider,12
2017-04-10,86.1,3.4024,5.3715,1.2338,1.251,2,-8.5331,-124.7012,-2.735,14.407,26.8041,-19.096,84.741,1941.0,5.813,54.6854,12,3,Changeup,13
2017-04-10,96.3,3.2879,5.4758,1.2919999999999998,1.3881,2,-12.9061,-139.2289,-3.0023,19.5712,32.2215,-13.8982,95.139,2430.0,6.035,54.4639,12,4,4-Seam Fastball,14
2017-04-10,93.6,3.3814,5.4789,1.2469,1.4984,2,-12.3516,-135.3447,-4.5216,17.8356,30.5774,-13.3194,92.227,2306.0,5.891,54.608000000000004,13,1,4-Seam Fastball,15
2017-04-10,95.5,3.3109,5.5133,1.2056,1.255,2,-11.5142,-138.1755,-3.8385,17.7923,31.6377,-15.764000000000001,94.14,2401.0,5.865,54.6342,13,2,4-Seam Fastball,16
2017-04-10,96.6,3.4210000000000003,5.1172,1.0788,0.4405,2,-10.537,-140.0746,-1.5016,16.5799,31.5941,-26.2497,96.389,2399.0,6.352,54.1472,13,3,Sinker,17
2017-04-10,87.5,3.2974,5.251,1.392,1.0415,2,-9.244,-126.70700000000001,-5.2887,16.5473,25.5368,-20.3653,86.238,2090.0,5.716,54.7829,13,4,Changeup,18
2017-04-10,86.8,3.3781,5.1121,1.7094,0.8518,2,-12.0522,-125.5391,-4.436,20.1792,24.4621,-22.6541,85.775,2022.0,5.879,54.6199,14,1,Changeup,19
2017-04-10,86.4,3.3883,5.181,1.3271,0.5277,2,-11.0647,-125.1005,-1.0841,15.9058,24.4131,-26.7265,85.473,1803.0,5.888,54.6107,14,2,Changeup,20
2017-04-10,94.5,3.4309,5.187,1.6338,0.4876,3,-11.1797,-136.8075,-2.2068,22.5842,30.3952,-25.930999999999997,93.13,2270.0,5.773,54.7254,19,1,Sinker,21
2017-04-10,89.2,3.3615,5.4629,1.4611,1.4592,3,-11.5239,-128.8443,-5.8106,18.4739,27.6822,-15.1932,87.859,2257.0,5.926,54.573,20,1,Changeup,22
